Order_ID,Order_Date,Category,Product,Sales,Profit,Quantity,Customer_Segment,Region
50,2023-02-19,Books,Laptop,35696,1375,3,Consumer,East
51,2023-02-20,Books,Novel,45613,5026,4,Consumer,South
52,2023-02-21,Books,Bat,40694,9455,8,Home Office,South
53,2023-02-22,Books,Laptop,9033,1209,3,Consumer,South
54,2023-02-23,Sports,Laptop,33081,4700,6,Home Office,North
55,2023-02-24,Home,Bat,5749,5037,1,Consumer,East
56,2023-02-25,Electronics,Sofa,19701,4747,7,Corporate,North
57,2023-02-26,Books,T-Shirt,10186,390,8,Home Office,North
58,2023-02-27,Clothing,Novel,47377,3878,8,Corporate,North
59,2023-02-28,Books,T-Shirt,32507,2018,3,Corporate,West
60,2023-03-01,Clothing,Bat,1161,753,1,Home Office,West
61,2023-03-02,Clothing,Laptop,45343,5532,9,Corporate,West
62,2023-03-03,Books,Laptop,30637,6426,6,Home Office,East
63,2023-03-04,Sports,Novel,48056,1850,9,Corporate,North
64,2023-03-05,Clothing,Laptop,43328,5513,7,Home Office,North
65,2023-03-06,Clothing,Laptop,49104,4962,1,Home Office,West
66,2023-03-07,Books,Novel,11026,4698,1,Consumer,North
67,2023-03-08,Clothing,Novel,3874,905,6,Home Office,North
68,2023-03-09,Clothing,Bat,26092,2916,5,Home Office,South
69,2023-03-10,Books,Laptop,29482,232,9,Corporate,North
70,2023-03-11,Books,Laptop,707,3162,2,Home Office,South
71,2023-03-12,Electronics,Bat,35933,5720,8,Consumer,North
72,2023-03-13,Sports,Sofa,23697,4542,5,Corporate,East
73,2023-03-14,Sports,Sofa,33900,5873,2,Corporate,West
74,2023-03-15,Clothing,Sofa,3583,1567,6,Consumer,South
75,2023-03-16,Sports,Bat,29828,5052,8,Corporate,West
76,2023-03-17,Clothing,Laptop,46979,1406,4,Corporate,South
77,2023-03-18,Electronics,Bat,43391,3679,2,Corporate,South
78,2023-03-19,Books,Bat,20603,3678,5,Corporate,South
79,2023-03-20,Books,Sofa,40391,8260,2,Consumer,East
80,2023-03-21,Books,T-Shirt,11254,6182,2,Consumer,North
81,2023-03-22,Sports,Laptop,34947,9374,6,Corporate,South
82,2023-03-23,Electronics,Sofa,16401,6638,9,Corporate,East
83,2023-03-24,Sports,T-Shirt,33504,3361,4,Consumer,South
84,2023-03-25,Sports,T-Shirt,7946,6098,6,Consumer,North
85,2023-03-26,Electronics,Novel,37711,6296,7,Consumer,South
86,2023-03-27,Electronics,Laptop,48731,1037,6,Corporate,East
87,2023-03-28,Electronics,T-Shirt,29801,3371,8,Corporate,North
88,2023-03-29,Electronics,Sofa,26616,4665,4,Home Office,East
89,2023-03-30,Books,Novel,41823,8415,1,Consumer,North
90,2023-03-31,Home,Laptop,19252,3791,7,Corporate,North
91,2023-04-01,Home,Bat,32876,3102,3,Consumer,West
92,2023-04-02,Electronics,Sofa,17169,6624,6,Corporate,West
93,2023-04-03,Home,T-Shirt,33416,776,2,Consumer,West
94,2023-04-04,Home,T-Shirt,13895,3810,9,Corporate,North
95,2023-04-05,Electronics,Sofa,20921,5856,1,Home Office,South
96,2023-04-06,Home,T-Shirt,26842,1925,6,Home Office,East
97,2023-04-07,Sports,Novel,5395,7043,6,Consumer,East
98,2023-04-08,Clothing,Laptop,11523,4083,5,Corporate,East
99,2023-04-09,Clothing,Novel,11199,5493,5,Corporate,West
100,2023-04-10,Electronics,T-Shirt,10215,1039,1,Consumer,North
101,2023-04-11,Books,Bat,19669,3794,5,Corporate,West
102,2023-04-12,Electronics,Laptop,16663,8661,2,Consumer,South
103,2023-04-13,Books,Laptop,6282,643,7,Corporate,North
104,2023-04-14,Clothing,Sofa,23141,1824,3,Consumer,East
105,2023-04-15,Electronics,Sofa,19292,985,4,Corporate,West
106,2023-04-16,Sports,Bat,49992,3858,3,Consumer,West
107,2023-04-17,Home,Laptop,36085,381,3,Corporate,South
108,2023-04-18,Books,Bat,31182,7972,4,Home Office,South
109,2023-04-19,Home,Sofa,48364,2752,5,Corporate,West
110,2023-04-20,Home,Sofa,19380,5939,1,Consumer,South
111,2023-04-21,Electronics,Laptop,38567,5104,4,Home Office,East
112,2023-04-22,Home,Novel,43185,3918,8,Corporate,South
113,2023-04-23,Sports,T-Shirt,18573,4250,7,Home Office,South
114,2023-04-24,Home,Sofa,36535,251,9,Corporate,West
115,2023-04-25,Electronics,Sofa,37674,2547,5,Home Office,West
116,2023-04-26,Sports,Novel,25337,1892,4,Consumer,North
117,2023-04-27,Clothing,Novel,18326,9151,8,Corporate,North
118,2023-04-28,Home,Bat,25481,4708,9,Corporate,West
119,2023-04-29,Electronics,Bat,10882,7594,7,Consumer,South
120,2023-04-30,Clothing,T-Shirt,4937,7768,7,Home Office,South
121,2023-05-01,Clothing,T-Shirt,5935,820,5,Consumer,North
122,2023-05-02,Books,Laptop,25319,3205,4,Consumer,North
123,2023-05-03,Sports,Bat,37375,1678,1,Home Office,North
124,2023-05-04,Home,Sofa,32482,436,7,Consumer,East
125,2023-05-05,Electronics,Bat,33828,6081,1,Corporate,East
126,2023-05-06,Books,Sofa,12829,6489,1,Corporate,North
127,2023-05-07,Sports,Novel,25669,6451,5,Corporate,South
128,2023-05-08,Books,Bat,22432,4058,9,Consumer,North
129,2023-05-09,Sports,Novel,35094,2516,6,Corporate,East
130,2023-05-10,Sports,T-Shirt,11921,2332,3,Corporate,South
131,2023-05-11,Home,T-Shirt,45533,1906,3,Corporate,East
132,2023-05-12,Sports,Laptop,8129,8030,7,Corporate,South
133,2023-05-13,Books,Bat,8825,2048,6,Corporate,East
134,2023-05-14,Sports,Novel,28995,5526,9,Corporate,South
135,2023-05-15,Home,Sofa,32250,9478,6,Consumer,South
136,2023-05-16,Home,T-Shirt,30119,4719,5,Corporate,South
137,2023-05-17,Books,T-Shirt,40961,9392,7,Corporate,South
138,2023-05-18,Clothing,Sofa,8764,4368,1,Home Office,West
139,2023-05-19,Clothing,Novel,13186,7114,7,Consumer,East
140,2023-05-20,Sports,Novel,46984,7496,3,Consumer,East
141,2023-05-21,Electronics,Bat,24726,1481,9,Consumer,West
142,2023-05-22,Sports,Bat,7221,5674,6,Consumer,South
143,2023-05-23,Books,Laptop,21109,7511,9,Corporate,South
144,2023-05-24,Books,T-Shirt,7873,1869,5,Corporate,East
145,2023-05-25,Books,Bat,39175,1180,7,Home Office,West
146,2023-05-26,Books,Novel,49395,6613,4,Home Office,South
147,2023-05-27,Books,Sofa,29437,2708,7,Consumer,South
148,2023-05-28,Home,Novel,6156,3550,1,Home Office,South
149,2023-05-29,Clothing,T-Shirt,9484,8616,7,Home Office,North
150,2023-05-30,Books,Novel,30484,2170,8,Consumer,West
151,2023-05-31,Electronics,Laptop,8786,4070,5,Consumer,South
152,2023-06-01,Electronics,T-Shirt,6401,3309,2,Home Office,North
153,2023-06-02,Electronics,Sofa,32052,1873,5,Corporate,West
154,2023-06-03,Electronics,Laptop,26209,1524,6,Home Office,South
155,2023-06-04,Home,T-Shirt,31555,2292,2,Home Office,East
156,2023-06-05,Electronics,Sofa,38185,3293,6,Corporate,North
157,2023-06-06,Books,Laptop,8929,7040,6,Corporate,North
158,2023-06-07,Sports,Laptop,15216,5210,1,Consumer,South
159,2023-06-08,Electronics,T-Shirt,49063,3184,1,Consumer,South
160,2023-06-09,Home,Bat,11638,2120,3,Home Office,North
161,2023-06-10,Home,Laptop,35798,409,3,Corporate,East
162,2023-06-11,Electronics,Laptop,23929,1191,4,Consumer,East
163,2023-06-12,Sports,Sofa,6272,1685,2,Home Office,West
164,2023-06-13,Electronics,Novel,48744,4050,9,Corporate,South
165,2023-06-14,Home,T-Shirt,49019,3411,7,Home Office,East
166,2023-06-15,Clothing,T-Shirt,36232,6633,7,Consumer,West
167,2023-06-16,Books,Bat,40405,7885,6,Consumer,East
168,2023-06-17,Home,Bat,17847,56,3,Corporate,South
169,2023-06-18,Electronics,T-Shirt,17420,3317,6,Home Office,West
170,2023-06-19,Books,Bat,32322,6614,8,Corporate,West
171,2023-06-20,Electronics,Sofa,47159,9833,8,Consumer,West
172,2023-06-21,Electronics,T-Shirt,40608,4978,9,Consumer,East
173,2023-06-22,Clothing,Bat,24063,2656,1,Home Office,South
174,2023-06-23,Books,T-Shirt,8467,5956,1,Home Office,West
175,2023-06-24,Books,Novel,45683,3323,3,Home Office,North
176,2023-06-25,Clothing,Laptop,12371,7661,3,Corporate,South
177,2023-06-26,Home,T-Shirt,29263,963,8,Home Office,North
178,2023-06-27,Electronics,Laptop,12416,2061,1,Home Office,North
179,2023-06-28,Sports,Bat,9234,1492,2,Consumer,West
180,2023-06-29,Electronics,Laptop,34113,5596,2,Consumer,West
181,2023-06-30,Electronics,T-Shirt,28679,1879,3,Home Office,East
182,2023-07-01,Home,Novel,35762,8817,6,Home Office,East
183,2023-07-02,Electronics,Bat,13177,6518,1,Consumer,East
184,2023-07-03,Clothing,T-Shirt,18768,979,2,Home Office,South
185,2023-07-04,Clothing,Bat,12830,3749,1,Corporate,East
186,2023-07-05,Books,Sofa,21233,9705,5,Corporate,North
187,2023-07-06,Sports,Laptop,38447,1104,7,Corporate,East
188,2023-07-07,Electronics,Sofa,27786,5794,8,Home Office,West
189,2023-07-08,Electronics,T-Shirt,7110,1950,1,Consumer,East
190,2023-07-09,Home,Novel,6930,9699,7,Home Office,South
191,2023-07-10,Clothing,Bat,40422,7030,5,Home Office,South
192,2023-07-11,Sports,Laptop,14328,7119,1,Consumer,North
193,2023-07-12,Books,Bat,43413,9641,3,Consumer,South
194,2023-07-13,Clothing,T-Shirt,31997,3465,7,Consumer,East
195,2023-07-14,Books,Bat,39756,492,1,Corporate,West
196,2023-07-15,Home,Laptop,37118,6268,7,Home Office,South
197,2023-07-16,Home,T-Shirt,46832,4702,5,Consumer,North
198,2023-07-17,Electronics,Bat,27026,7989,1,Home Office,East
199,2023-07-18,Sports,Novel,30658,7883,1,Corporate,North
200,2023-07-19,Books,T-Shirt,25532,9420,1,Corporate,South
201,2023-07-20,Clothing,T-Shirt,38346,7647,9,Consumer,South
202,2023-07-21,Home,Novel,45436,4508,3,Consumer,North
203,2023-07-22,Electronics,Sofa,30294,6641,5,Home Office,East
204,2023-07-23,Electronics,Laptop,5948,9499,9,Consumer,South
205,2023-07-24,Books,Sofa,29361,2359,6,Home Office,West
206,2023-07-25,Home,Bat,28641,6318,9,Consumer,South
207,2023-07-26,Sports,Novel,9574,960,8,Home Office,East
208,2023-07-27,Home,Sofa,6906,4390,8,Home Office,South
209,2023-07-28,Books,T-Shirt,32323,4059,1,Home Office,North
210,2023-07-29,Books,Bat,23791,6678,9,Home Office,South
211,2023-07-30,Home,Bat,42068,2219,6,Corporate,South
212,2023-07-31,Books,Sofa,32503,2222,9,Home Office,East
213,2023-08-01,Home,Sofa,47351,5718,3,Consumer,North
214,2023-08-02,Clothing,Novel,34906,6363,3,Corporate,East
215,2023-08-03,Home,Laptop,23812,8365,6,Corporate,South
216,2023-08-04,Home,Sofa,43608,8086,9,Home Office,West
217,2023-08-05,Books,Sofa,1882,6839,7,Corporate,South
218,2023-08-06,Books,T-Shirt,34671,835,3,Home Office,East
219,2023-08-07,Electronics,Bat,42279,6189,3,Consumer,West
220,2023-08-08,Electronics,Laptop,3792,6394,2,Home Office,East
221,2023-08-09,Clothing,T-Shirt,42279,2466,9,Corporate,East
222,2023-08-10,Electronics,Novel,33687,9038,3,Consumer,North
223,2023-08-11,Home,Novel,12911,4204,5,Home Office,West
224,2023-08-12,Books,Sofa,37785,5669,9,Consumer,South
225,2023-08-13,Electronics,Sofa,15922,1986,8,Consumer,East
226,2023-08-14,Electronics,Novel,42968,3857,2,Corporate,South
227,2023-08-15,Clothing,Sofa,32871,7201,3,Consumer,North
228,2023-08-16,Clothing,Laptop,6193,9543,2,Corporate,North
229,2023-08-17,Home,Sofa,34035,3286,8,Consumer,West
230,2023-08-18,Books,Bat,15318,2402,6,Home Office,North
231,2023-08-19,Clothing,Sofa,31738,1982,6,Consumer,North
232,2023-08-20,Electronics,T-Shirt,31374,8606,9,Home Office,South
233,2023-08-21,Books,Laptop,27215,4966,8,Home Office,North
234,2023-08-22,Books,T-Shirt,28105,5548,4,Consumer,North
235,2023-08-23,Electronics,T-Shirt,34817,996,4,Home Office,East
236,2023-08-24,Clothing,Bat,31674,9619,9,Consumer,North
237,2023-08-25,Electronics,Laptop,10456,1489,1,Consumer,East
238,2023-08-26,Books,Laptop,39408,7780,2,Home Office,North
239,2023-08-27,Sports,Laptop,11337,4907,2,Home Office,North
240,2023-08-28,Sports,Laptop,4216,390,6,Corporate,West
241,2023-08-29,Home,Laptop,4981,432,4,Home Office,West
242,2023-08-30,Electronics,Bat,24782,9798,3,Corporate,East
243,2023-08-31,Electronics,Sofa,7048,8541,3,Home Office,North
244,2023-09-01,Home,T-Shirt,38105,188,3,Consumer,South
245,2023-09-02,Home,Laptop,8258,408,6,Home Office,West
246,2023-09-03,Home,Sofa,44168,4981,8,Consumer,South
247,2023-09-04,Books,Sofa,23677,9764,7,Consumer,West
248,2023-09-05,Electronics,T-Shirt,24522,3506,4,Consumer,West
249,2023-09-06,Books,Bat,41261,1677,4,Corporate,North
250,2023-09-07,Home,Novel,6042,9545,2,Home Office,West
251,2023-09-08,Electronics,Novel,25976,6676,1,Consumer,South
252,2023-09-09,Books,Sofa,31284,5054,9,Consumer,West
253,2023-09-10,Books,T-Shirt,23240,9376,2,Corporate,East
254,2023-09-11,Home,Novel,25317,6702,8,Home Office,North
255,2023-09-12,Electronics,Sofa,48096,6466,9,Home Office,North
256,2023-09-13,Home,Bat,16552,3220,4,Corporate,East
257,2023-09-14,Electronics,Novel,35653,3885,8,Corporate,East
258,2023-09-15,Sports,Sofa,47576,8067,9,Home Office,East
259,2023-09-16,Clothing,Sofa,1171,2201,5,Corporate,West
260,2023-09-17,Clothing,Laptop,663,9479,7,Home Office,North
261,2023-09-18,Clothing,Bat,41924,6955,4,Home Office,East
262,2023-09-19,Home,Laptop,44502,2884,1,Consumer,West
263,2023-09-20,Sports,T-Shirt,5295,9240,3,Consumer,East
264,2023-09-21,Electronics,Laptop,11134,2617,5,Home Office,South
265,2023-09-22,Books,Laptop,5298,1357,3,Home Office,South
266,2023-09-23,Electronics,Novel,22920,8898,7,Home Office,North
267,2023-09-24,Books,Sofa,29800,2710,9,Home Office,West
268,2023-09-25,Electronics,Bat,24845,3780,6,Home Office,South
269,2023-09-26,Sports,Laptop,11249,6257,1,Home Office,South
270,2023-09-27,Books,Bat,39095,3212,7,Corporate,West
271,2023-09-28,Home,Laptop,25621,1190,3,Home Office,East
272,2023-09-29,Electronics,T-Shirt,37987,8508,5,Corporate,West
273,2023-09-30,Electronics,Laptop,28911,1758,4,Corporate,East
274,2023-10-01,Books,Novel,33861,3680,5,Home Office,South
275,2023-10-02,Home,Sofa,21723,3261,5,Home Office,South
276,2023-10-03,Home,T-Shirt,7894,6588,6,Corporate,South
277,2023-10-04,Sports,Laptop,14556,9752,6,Corporate,North
278,2023-10-05,Home,Bat,28880,525,8,Home Office,North
279,2023-10-06,Home,T-Shirt,26535,7734,8,Home Office,North
280,2023-10-07,Home,T-Shirt,31120,9218,9,Corporate,West
281,2023-10-08,Clothing,Laptop,20377,1257,8,Corporate,South
282,2023-10-09,Sports,T-Shirt,43904,2010,2,Corporate,South
283,2023-10-10,Electronics,Bat,31411,607,1,Consumer,West
284,2023-10-11,Books,T-Shirt,33284,932,2,Corporate,North
285,2023-10-12,Electronics,Bat,3691,4811,2,Consumer,West
286,2023-10-13,Sports,Laptop,33660,5917,3,Home Office,North
287,2023-10-14,Books,Sofa,25500,7013,7,Home Office,South
288,2023-10-15,Sports,T-Shirt,39540,7216,2,Corporate,East
289,2023-10-16,Home,Sofa,4131,7979,1,Home Office,North
290,2023-10-17,Books,Bat,6672,5397,6,Home Office,South
291,2023-10-18,Home,T-Shirt,42580,7319,9,Home Office,South
292,2023-10-19,Electronics,Novel,24061,9852,3,Home Office,East
293,2023-10-20,Electronics,Sofa,25317,8175,6,Consumer,South
294,2023-10-21,Books,T-Shirt,20781,2504,3,Consumer,South
295,2023-10-22,Books,Sofa,29171,4544,1,Corporate,North
296,2023-10-23,Sports,T-Shirt,25864,1996,5,Corporate,North
297,2023-10-24,Sports,Laptop,42174,2858,4,Corporate,East
298,2023-10-25,Home,Sofa,27925,6692,7,Home Office,East
299,2023-10-26,Books,Novel,29102,3875,6,Home Office,South
300,2023-10-27,Electronics,Novel,23753,3586,7,Consumer,North
301,2023-10-28,Sports,Bat,23972,6118,5,Consumer,East
302,2023-10-29,Sports,T-Shirt,49730,3852,4,Corporate,East
303,2023-10-30,Electronics,Sofa,8580,4749,7,Consumer,West
304,2023-10-31,Sports,Bat,7599,2020,7,Consumer,East
305,2023-11-01,Home,Sofa,25931,5856,6,Consumer,South
306,2023-11-02,Books,T-Shirt,31686,6192,8,Consumer,North
307,2023-11-03,Electronics,Novel,48184,2869,4,Consumer,East
308,2023-11-04,Books,Laptop,30611,9144,5,Corporate,West
309,2023-11-05,Sports,Novel,40351,414,4,Corporate,North
310,2023-11-06,Sports,Bat,23114,4308,1,Consumer,East
311,2023-11-07,Electronics,Laptop,27224,3169,8,Corporate,West
312,2023-11-08,Home,Bat,42491,1913,1,Home Office,East
313,2023-11-09,Clothing,T-Shirt,5440,165,5,Consumer,North
314,2023-11-10,Electronics,Laptop,29258,7134,6,Home Office,North
315,2023-11-11,Clothing,Bat,36724,8066,6,Corporate,North
316,2023-11-12,Clothing,T-Shirt,8288,2434,5,Corporate,South
317,2023-11-13,Home,Novel,28582,3985,3,Home Office,East
318,2023-11-14,Clothing,T-Shirt,24534,7792,5,Corporate,South
319,2023-11-15,Clothing,Sofa,35979,5492,8,Consumer,North
320,2023-11-16,Home,T-Shirt,11780,2540,2,Home Office,West
321,2023-11-17,Clothing,T-Shirt,18552,7030,6,Consumer,East
322,2023-11-18,Clothing,Sofa,17031,9184,9,Home Office,South
323,2023-11-19,Clothing,Bat,23304,7711,8,Corporate,East
324,2023-11-20,Electronics,Bat,29403,1774,8,Home Office,West
325,2023-11-21,Electronics,T-Shirt,45357,8232,8,Home Office,South
326,2023-11-22,Electronics,Sofa,10642,2817,7,Consumer,North
327,2023-11-23,Home,Sofa,48855,1187,8,Corporate,South
328,2023-11-24,Sports,Novel,10366,4167,6,Consumer,East
329,2023-11-25,Clothing,Bat,5031,3470,2,Corporate,East
330,2023-11-26,Clothing,Laptop,45954,5895,2,Consumer,East
331,2023-11-27,Home,Bat,38598,4828,8,Home Office,East
332,2023-11-28,Clothing,Bat,38778,3956,1,Consumer,North
333,2023-11-29,Electronics,Novel,28638,3687,6,Corporate,South
334,2023-11-30,Sports,Laptop,27565,3003,6,Corporate,North
335,2023-12-01,Books,Novel,30456,5979,4,Home Office,North
336,2023-12-02,Clothing,Laptop,42232,326,3,Corporate,North
337,2023-12-03,Electronics,T-Shirt,39761,2049,3,Consumer,East
338,2023-12-04,Books,Laptop,11259,1277,1,Home Office,East
339,2023-12-05,Sports,Novel,5939,6387,3,Corporate,East
340,2023-12-06,Books,Bat,47741,3785,4,Corporate,South
341,2023-12-07,Electronics,Laptop,43033,745,5,Consumer,West
342,2023-12-08,Books,Laptop,28770,9551,3,Consumer,East
343,2023-12-09,Home,Sofa,13779,4202,6,Home Office,South
344,2023-12-10,Books,Bat,39779,7951,5,Corporate,East
345,2023-12-11,Clothing,T-Shirt,44751,7520,3,Consumer,East
346,2023-12-12,Clothing,Novel,24388,7587,6,Home Office,North
347,2023-12-13,Home,T-Shirt,18130,2891,6,Corporate,North
348,2023-12-14,Electronics,Bat,35644,4258,8,Corporate,North
349,2023-12-15,Clothing,Laptop,31682,8783,2,Home Office,South
350,2023-12-16,Sports,Laptop,26038,1138,1,Home Office,West
351,2023-12-17,Clothing,Bat,12324,3413,4,Consumer,West
352,2023-12-18,Clothing,Laptop,32625,74,7,Corporate,South
353,2023-12-19,Electronics,Laptop,7479,9814,3,Corporate,East
354,2023-12-20,Books,Laptop,26689,6194,3,Corporate,South
355,2023-12-21,Clothing,Novel,43100,5718,5,Home Office,East
356,2023-12-22,Home,Novel,13004,4286,5,Consumer,South
357,2023-12-23,Books,Sofa,21169,8118,3,Corporate,South
358,2023-12-24,Sports,T-Shirt,7410,2285,9,Home Office,South
359,2023-12-25,Electronics,Bat,47357,7345,4,Corporate,West
360,2023-12-26,Sports,Bat,35464,8442,3,Consumer,North
361,2023-12-27,Books,Bat,20631,8498,2,Corporate,South
362,2023-12-28,Books,Sofa,25727,3797,9,Consumer,West
363,2023-12-29,Books,Novel,6478,3225,4,Consumer,North
364,2023-12-30,Sports,Sofa,22491,4947,3,Corporate,North
365,2023-12-31,Books,Bat,17653,5087,7,Corporate,South
366,2024-01-01,Sports,T-Shirt,34048,7477,8,Consumer,East
367,2024-01-02,Books,Laptop,43176,8655,2,Home Office,East
368,2024-01-03,Home,Novel,39571,2064,7,Consumer,East
369,2024-01-04,Books,Novel,47954,1431,5,Corporate,South
370,2024-01-05,Sports,Sofa,4483,1148,5,Corporate,East
371,2024-01-06,Clothing,Novel,10003,3476,3,Home Office,West
372,2024-01-07,Books,Bat,30421,3705,5,Consumer,West
373,2024-01-08,Clothing,Bat,17405,7988,2,Consumer,West
374,2024-01-09,Home,Sofa,46338,9151,4,Consumer,West
375,2024-01-10,Electronics,Bat,24453,237,6,Corporate,North
376,2024-01-11,Home,T-Shirt,27306,5459,1,Consumer,West
377,2024-01-12,Books,Sofa,45500,2142,4,Home Office,East
378,2024-01-13,Clothing,T-Shirt,22668,2180,6,Corporate,South
379,2024-01-14,Clothing,Laptop,5083,5292,9,Corporate,East
380,2024-01-15,Sports,T-Shirt,39214,8599,2,Consumer,West
381,2024-01-16,Clothing,Laptop,49645,5697,7,Home Office,North
382,2024-01-17,Sports,Laptop,40396,5235,6,Corporate,West
383,2024-01-18,Electronics,T-Shirt,12389,5826,2,Corporate,South
384,2024-01-19,Books,Sofa,27913,7963,8,Consumer,East
385,2024-01-20,Sports,Bat,12775,7597,7,Consumer,South
386,2024-01-21,Electronics,Bat,2961,7873,5,Home Office,South
387,2024-01-22,Clothing,Laptop,14791,7405,5,Consumer,South
388,2024-01-23,Clothing,Laptop,47304,6515,7,Home Office,East
389,2024-01-24,Electronics,Sofa,11935,1547,9,Corporate,West
390,2024-01-25,Clothing,Novel,28435,2605,9,Home Office,South
391,2024-01-26,Electronics,T-Shirt,33953,5459,9,Home Office,East
392,2024-01-27,Sports,Laptop,19044,3001,6,Home Office,North
393,2024-01-28,Sports,Bat,12758,1288,6,Corporate,East
394,2024-01-29,Electronics,Sofa,31341,9215,3,Consumer,North
395,2024-01-30,Sports,T-Shirt,49258,4777,1,Corporate,East
396,2024-01-31,Sports,Sofa,49690,4015,7,Consumer,West
397,2024-02-01,Sports,T-Shirt,11236,5736,4,Home Office,South
398,2024-02-02,Home,T-Shirt,38143,9292,1,Home Office,West
399,2024-02-03,Books,Laptop,44450,3751,8,Home Office,East
400,2024-02-04,Clothing,Sofa,35464,2830,6,Home Office,South
401,2024-02-05,Home,Sofa,28544,7448,6,Home Office,North
402,2024-02-06,Sports,Bat,40433,1638,2,Consumer,East
403,2024-02-07,Electronics,Bat,16497,2418,1,Consumer,South
404,2024-02-08,Sports,Laptop,14715,5839,2,Home Office,North
405,2024-02-09,Books,Laptop,33569,486,4,Corporate,North
406,2024-02-10,Sports,Novel,24411,2878,2,Corporate,West
407,2024-02-11,Electronics,Bat,17530,1606,1,Home Office,East
408,2024-02-12,Books,T-Shirt,29834,7620,7,Consumer,North
409,2024-02-13,Sports,Sofa,15071,7530,8,Corporate,South
410,2024-02-14,Books,Laptop,43219,9546,6,Corporate,North
411,2024-02-15,Clothing,Sofa,29427,232,4,Corporate,North
412,2024-02-16,Clothing,Sofa,21214,7240,6,Home Office,West
413,2024-02-17,Sports,Novel,44041,6737,3,Corporate,West
414,2024-02-18,Books,Bat,23887,5615,8,Corporate,South
415,2024-02-19,Electronics,Laptop,28944,7291,2,Corporate,West
416,2024-02-20,Sports,Sofa,49408,7701,5,Corporate,North
417,2024-02-21,Clothing,Laptop,20421,5625,1,Consumer,North
418,2024-02-22,Clothing,T-Shirt,13557,1639,6,Home Office,West
419,2024-02-23,Sports,Novel,45768,9829,2,Home Office,North
420,2024-02-24,Books,T-Shirt,25358,8901,4,Consumer,North
421,2024-02-25,Clothing,Laptop,49189,209,6,Consumer,South
422,2024-02-26,Books,Laptop,45138,6605,8,Home Office,West
